timestamp,symbol,ltp,buy_qty,sell_qty,diff,buy_change_pct,sell_change_pct,spike
2026-02-20 15:07:12.522119,IDEA,1214.7,11352,9679,1673,0,0,
2026-02-20 15:07:13.539681,YESBANK,21.07,593375,1095355,-501980,0,0,
2026-02-20 15:07:44.773466,IDEA,1214.9,20567,10730,9837,81.18,10.86,BUY SPIKE
2026-02-20 15:07:45.981656,YESBANK,21.07,658853,1135688,-476835,11.03,3.68,
2026-02-20 15:08:16.242874,IDEA,1214.9,22340,15021,7319,8.62,39.99,SELL SPIKE
2026-02-20 15:08:16.473177,YESBANK,21.07,713864,1151753,-437889,8.35,1.41,
2026-02-20 15:08:46.682097,IDEA,1215.4,14200,5090,9110,-36.44,-66.11,BUY SPIKE
2026-02-20 15:08:46.876944,YESBANK,21.07,751509,1089778,-338269,5.27,-5.38,
2026-02-20 15:09:17.244427,IDEA,1215.8,13334,7657,5677,-6.1,50.43,SELL SPIKE
2026-02-20 15:09:17.526316,YESBANK,21.07,788271,1028114,-239843,4.89,-5.66,
2026-02-20 15:10:07.675392,IDEA,1418.6,4889,41769,-36880,0,0,
2026-02-20 15:10:07.916606,YESBANK,21.07,555836,1299666,-743830,0,0,
2026-02-20 15:10:38.821454,IDEA,1418.0,1906,66455,-64549,-61.01,59.1,BUY SPIKE
2026-02-20 15:10:39.526230,YESBANK,21.07,622079,1161818,-539739,11.92,-10.61,
2026-02-20 15:11:11.355446,IDEA,1418.0,11877,27798,-15921,523.14,-58.17,BUY SPIKE
2026-02-20 15:11:12.014428,YESBANK,21.05,599216,1002901,-403685,-3.68,-13.68,
2026-02-20 15:11:42.282850,IDEA,1418.2,12579,45447,-32868,5.91,63.49,SELL SPIKE
2026-02-20 15:11:42.578364,YESBANK,21.07,747500,1185036,-437536,24.75,18.16,BUY SPIKE
2026-02-20 15:12:13.604796,IDEA,1418.2,16375,21753,-5378,30.18,-52.14,BUY SPIKE
2026-02-20 15:12:14.648209,YESBANK,21.07,558966,1182581,-623615,-25.22,-0.21,BUY SPIKE
2026-02-20 15:12:44.918918,IDEA,1418.2,11674,41245,-29571,-28.71,89.61,BUY SPIKE
2026-02-20 15:12:45.101770,YESBANK,21.06,656496,1141970,-485474,17.45,-3.43,BUY SPIKE
2026-02-20 15:15:13.413908,IDEA,11.21,5676091,6536518,-860427,0,0,
2026-02-20 15:15:14.648054,YESBANK,21.07,940408,1086309,-145901,0,0,
2026-02-20 15:15:45.407874,IDEA,11.21,5180482,6104550,-924068,-8.73,-6.61,
2026-02-20 15:15:46.099938,YESBANK,21.06,1011678,1137366,-125688,7.58,4.7,
2026-02-20 15:16:16.459078,IDEA,11.2,4687410,5492710,-805300,-9.52,-10.02,
2026-02-20 15:16:17.142233,YESBANK,21.06,906711,1159518,-252807,-10.38,1.95,
2026-02-20 15:16:47.535995,IDEA,11.18,3318950,4263523,-944573,-29.19,-22.38,BUY SPIKE
2026-02-20 15:16:48.133052,YESBANK,21.07,929617,1208992,-279375,2.53,4.27,
2026-02-20 15:17:18.477493,IDEA,11.16,2356570,3277864,-921294,-29.0,-23.12,BUY SPIKE
2026-02-20 15:17:18.826262,YESBANK,21.07,930007,1256866,-326859,0.04,3.96,
2026-02-20 15:17:49.131266,IDEA,11.15,2179161,2259003,-79842,-7.53,-31.08,SELL SPIKE
2026-02-20 15:17:49.403719,YESBANK,21.06,917650,1152938,-235288,-1.33,-8.27,
2026-02-20 15:18:19.724902,IDEA,11.17,2283000,2020054,262946,4.77,-10.58,
2026-02-20 15:18:19.924648,YESBANK,21.06,939200,1142587,-203387,2.35,-0.9,
