Timestamp,Symbol,LTP,Buy_Qty,Sell_Qty,Difference,Buy_%_Change,Sell_%_Change
2026-02-23 09:12:31,IDEA,11.2,1530411,303689,1226722,0,0
2026-02-23 09:12:31,YESBANK,21.06,258862,12473,246389,0,0
2026-02-23 09:13:02,IDEA,11.2,1530411,303689,1226722,0.0,0.0
2026-02-23 09:13:02,YESBANK,21.06,258862,12473,246389,0.0,0.0
2026-02-23 09:13:32,IDEA,11.2,1530411,303689,1226722,0.0,0.0
2026-02-23 09:13:33,YESBANK,21.06,258862,12473,246389,0.0,0.0
2026-02-23 09:14:24,IDEA,11.2,1530411,303689,1226722,0.0,0.0
2026-02-23 09:14:24,YESBANK,21.06,258862,12473,246389,0.0,0.0
2026-02-23 09:14:54,IDEA,11.2,1530411,303689,1226722,0.0,0.0
2026-02-23 09:14:55,YESBANK,21.06,258862,12473,246389,0.0,0.0
2026-02-23 09:15:25,IDEA,11.15,3217721,719141,2498580,110.25,136.8
2026-02-23 09:15:26,YESBANK,21.07,285554,314185,-28631,10.31,2418.92
2026-02-23 09:16:15,IDEA,11.14,2706669,945255,1761414,-45.5,20.1
2026-02-23 09:16:15,YESBANK,21.05,348506,181717,166789,-9.07,8.97
2026-02-23 09:16:45,IDEA,11.16,1836057,1824716,11341,-32.17,93.04
2026-02-23 09:16:46,YESBANK,21.05,902653,129478,773175,159.01,-28.75
2026-02-23 09:17:16,IDEA,11.2,2748297,1823879,924418,49.68,-0.05
2026-02-23 09:17:16,YESBANK,21.06,261700,315476,-53776,-71.01,143.65
2026-02-23 09:17:46,IDEA,11.18,2921156,1790827,1130329,6.29,-1.81
2026-02-23 09:17:47,YESBANK,21.08,249922,415254,-165332,-4.5,31.63
2026-02-23 09:18:17,IDEA,11.18,2302009,2703815,-401806,-21.2,50.98
2026-02-23 09:18:17,YESBANK,21.09,395808,407514,-11706,58.37,-1.86
2026-02-23 09:18:48,IDEA,11.18,2300988,3215368,-914380,-0.04,18.92
2026-02-23 09:18:48,YESBANK,21.08,448444,470790,-22346,13.3,15.53
2026-02-23 09:19:32,IDEA,11.16,2595102,3785891,-1190789,6.79,-0.55
2026-02-23 09:19:33,YESBANK,21.07,1073864,427672,646192,-5.55,-0.24
2026-02-23 09:20:03,IDEA,11.17,3003926,3741811,-737885,15.75,-1.16
2026-02-23 09:20:04,YESBANK,21.05,570790,286835,283955,-46.85,-32.93
2026-02-23 09:20:34,IDEA,11.19,3413991,3650284,-236293,13.65,-2.45
2026-02-23 09:20:34,YESBANK,21.05,386109,472333,-86224,-32.36,64.67
2026-02-23 09:21:04,IDEA,11.18,3706151,3574931,131220,8.56,-2.06
2026-02-23 09:21:05,YESBANK,21.06,527446,508358,19088,36.61,7.63
2026-02-23 09:21:35,IDEA,11.17,2972309,4160648,-1188339,-19.8,16.38
2026-02-23 09:21:35,YESBANK,21.08,473312,609073,-135761,-10.26,19.81
2026-02-23 09:22:06,IDEA,11.17,3373256,3576757,-203501,13.49,-14.03
2026-02-23 09:22:06,YESBANK,21.06,776288,524659,251629,64.01,-13.86
2026-02-23 09:22:36,IDEA,11.16,2833160,3818985,-985825,-16.01,6.77
2026-02-23 09:22:37,YESBANK,21.08,326573,575065,-248492,-57.93,9.61
2026-02-23 09:23:07,IDEA,11.12,4380043,3024098,1355945,54.6,-20.81
2026-02-23 09:23:07,YESBANK,21.06,213169,586851,-373682,-34.73,2.05
2026-02-23 09:23:38,IDEA,11.13,5284987,2978360,2306627,20.66,-1.51
2026-02-23 09:23:38,YESBANK,21.07,305093,654971,-349878,43.12,11.61
2026-02-23 09:24:11,IDEA,11.13,5816580,3030018,2786562,10.06,1.73
2026-02-23 09:24:12,YESBANK,21.08,351213,675071,-323858,15.12,3.07
2026-02-23 09:24:42,IDEA,11.12,5670376,2949448,2720928,-2.51,-2.66
2026-02-23 09:24:42,YESBANK,21.07,385806,686986,-301180,9.85,1.76
2026-02-23 09:25:12,IDEA,11.11,2895584,2793642,101942,-48.93,-5.28
2026-02-23 09:25:13,YESBANK,21.06,514742,646984,-132242,33.42,-5.82
2026-02-23 09:25:43,IDEA,11.1,2807882,2476876,331006,-3.03,-11.34
2026-02-23 09:25:43,YESBANK,21.04,676380,539321,137059,31.4,-16.64
2026-02-23 09:26:14,IDEA,11.1,3254227,2511380,742847,15.9,1.39
2026-02-23 09:26:14,YESBANK,21.04,677675,489029,188646,0.19,-9.33
2026-02-23 09:26:47,IDEA,11.1,4198479,2996042,1202437,29.02,19.3
2026-02-23 09:26:48,YESBANK,21.05,644937,631785,13152,-4.83,29.19
2026-02-23 09:27:18,IDEA,11.11,3770110,3337924,432186,-10.2,11.41
2026-02-23 09:27:19,YESBANK,21.06,641741,642152,-411,-0.5,1.64
2026-02-23 09:27:49,IDEA,11.11,4058974,3762243,296731,7.66,12.71
2026-02-23 09:27:49,YESBANK,21.06,708732,626254,82478,10.44,-2.48
2026-02-23 09:28:31,IDEA,11.13,4558901,3340593,1218308,5.86,1.55
2026-02-23 09:28:31,YESBANK,21.07,531797,784521,-252724,-25.04,2.24
2026-02-23 09:29:01,IDEA,11.11,5779745,3297127,2482618,26.78,-1.3
2026-02-23 09:29:02,YESBANK,21.05,798774,731933,66841,50.2,-6.7
2026-02-23 09:29:32,IDEA,11.11,4710759,3388394,1322365,-18.5,2.77
2026-02-23 09:29:32,YESBANK,21.06,637565,854576,-217011,-20.18,16.76
2026-02-23 09:30:02,IDEA,11.12,4267199,3999292,267907,-9.42,18.03
2026-02-23 09:30:03,YESBANK,21.07,562998,699366,-136368,-11.7,-18.16
2026-02-23 09:30:33,IDEA,11.1,4367308,3273737,1093571,2.35,-18.14
2026-02-23 09:30:33,YESBANK,21.07,470793,827318,-356525,-16.38,18.3
2026-02-23 09:31:25,IDEA,11.1,4586505,4018500,568005,0.16,0.55
2026-02-23 09:31:25,YESBANK,21.06,724195,757405,-33210,11.76,6.79
2026-02-23 09:31:55,IDEA,11.08,2754466,3995750,-1241284,-39.94,-0.57
2026-02-23 09:31:56,YESBANK,21.06,648888,774916,-126028,-10.4,2.31
2026-02-23 09:32:54,IDEA,11.08,3696492,3829620,-133128,0.85,6.4
2026-02-23 09:32:54,YESBANK,21.06,506263,884449,-378186,-38.91,55.13
2026-02-23 09:33:25,IDEA,11.08,3246931,4180013,-933082,-12.16,9.15
2026-02-23 09:33:25,YESBANK,21.04,1007105,951476,55629,98.93,7.58
2026-02-23 09:33:55,IDEA,11.07,3926404,4594979,-668575,20.93,9.93
2026-02-23 09:33:56,YESBANK,21.04,1019609,960176,59433,1.24,0.91
2026-02-23 09:34:47,IDEA,11.06,3404914,4370822,-965908,1.81,2.13
2026-02-23 09:34:47,YESBANK,21.03,824626,515190,309436,1.13,-17.79
2026-02-23 09:35:49,IDEA,11.08,5123748,3955128,1168620,0.1,2.72
2026-02-23 09:35:49,YESBANK,21.03,758007,488502,269505,6.03,-26.03
2026-02-23 09:36:20,IDEA,11.09,5808613,3346177,2462436,13.37,-15.4
2026-02-23 09:36:20,YESBANK,21.04,766169,549017,217152,1.08,12.39
2026-02-23 09:36:50,IDEA,11.1,6714674,3885887,2828787,15.6,16.13
2026-02-23 09:36:51,YESBANK,21.04,991442,464892,526550,29.4,-15.32
2026-02-23 09:37:31,IDEA,11.1,6899713,3906070,2993643,4.15,0.45
2026-02-23 09:37:32,YESBANK,21.03,1086125,690580,395545,9.97,-4.45
2026-02-23 09:38:02,IDEA,11.09,6371548,4195082,2176466,-7.65,7.4
2026-02-23 09:38:02,YESBANK,21.03,1154200,718560,435640,6.27,4.05
2026-02-23 09:39:29,IDEA,11.09,6250885,4314205,1936680,-0.77,0.03
2026-02-23 09:39:29,YESBANK,21.02,1249652,400293,849359,15.74,-0.21
2026-02-23 09:39:59,IDEA,11.04,6130859,4488433,1642426,-1.92,4.04
2026-02-23 09:40:00,YESBANK,21.01,1234479,421935,812544,-1.21,5.41
2026-02-23 09:40:30,IDEA,11.03,6134035,1981899,4152136,0.05,-55.84
2026-02-23 09:40:30,YESBANK,21.03,1246662,489513,757149,0.99,16.02
2026-02-23 09:41:11,IDEA,11.04,6198399,2576877,3621522,5.61,-19.05
2026-02-23 09:41:11,YESBANK,21.0,399511,478918,-79407,2.04,21.64
2026-02-23 09:42:03,IDEA,11.04,6186492,2603176,3583316,0.59,3.5
2026-02-23 09:42:03,YESBANK,21.01,363688,428626,-64938,-32.74,-10.42
2026-02-23 09:43:02,IDEA,11.03,6237688,2911359,3326329,-2.05,0.23
2026-02-23 09:43:02,YESBANK,20.99,711059,393898,317161,2.44,-2.4
2026-02-23 09:43:41,IDEA,11.03,6844297,4329892,2514405,9.72,48.72
2026-02-23 09:43:41,YESBANK,20.99,700050,489949,210101,-1.55,24.38
2026-02-23 09:44:12,IDEA,11.05,6892943,2174964,4717979,0.71,-49.77
2026-02-23 09:44:12,YESBANK,20.99,662292,412052,250240,-5.39,-15.9
2026-02-23 09:45:46,IDEA,11.03,6692558,3517866,3174692,-1.19,3.86
2026-02-23 09:45:46,YESBANK,20.97,598791,286161,312630,-0.72,-21.47
2026-02-23 09:46:17,IDEA,11.04,7031129,3309035,3722094,5.06,-5.94
2026-02-23 09:46:17,YESBANK,20.96,829942,424495,405447,38.6,48.34
2026-02-23 09:46:48,IDEA,11.03,7116248,3173410,3942838,1.21,-4.1
2026-02-23 09:46:48,YESBANK,20.98,752726,310651,442075,-9.3,-26.82
