Timestamp,Time,Symbol,LTP,Buy_Qty,Sell_Qty,Difference,Buy_%_Change_3min,Sell_%_Change_3min,Signal
2026-02-25 09:26:59,09:26:59,IDEA,10.95,3072665,5907527,-2834862,0.0,0.0,NEUTRAL
2026-02-25 09:27:00,09:27:00,YESBANK,20.91,547818,836860,-289042,0.0,0.0,NEUTRAL
2026-02-25 09:27:30,09:27:30,IDEA,10.96,2520622,6664454,-4143832,-9.87,6.02,NEUTRAL
2026-02-25 09:27:30,09:27:30,YESBANK,20.91,627305,706682,-79377,6.76,-8.43,NEUTRAL
2026-02-25 09:28:00,09:28:00,IDEA,10.97,3150790,6282597,-3131807,8.1,-0.04,NEUTRAL
2026-02-25 09:28:01,09:28:01,YESBANK,20.88,610926,537665,73261,2.62,-22.5,NEUTRAL
2026-02-25 09:28:31,09:28:31,IDEA,10.96,3201954,6181439,-2979485,7.21,-1.24,NEUTRAL
2026-02-25 09:28:32,09:28:32,YESBANK,20.89,623378,447188,176190,3.49,-29.25,NEUTRAL
2026-02-25 09:29:02,09:29:02,IDEA,10.96,3128714,6333983,-3205269,3.77,0.96,NEUTRAL
2026-02-25 09:29:02,09:29:02,YESBANK,20.88,572885,362246,210639,-3.95,-37.34,NEUTRAL
2026-02-25 09:29:33,09:29:33,IDEA,10.95,3656562,4197008,-540446,17.13,-29.2,NEUTRAL
2026-02-25 09:29:33,09:29:33,YESBANK,20.87,741777,276801,464976,19.51,-47.57,BUY SIGNAL
2026-02-25 09:30:03,09:30:03,IDEA,10.94,3412866,3925078,-512212,7.37,-29.88,NEUTRAL
2026-02-25 09:30:04,09:30:04,YESBANK,20.86,883119,276097,607022,30.53,-36.45,BUY SIGNAL
2026-02-25 09:30:34,09:30:34,IDEA,10.92,3330596,3898196,-567600,0.51,-24.11,NEUTRAL
2026-02-25 09:30:34,09:30:34,YESBANK,20.84,820145,316522,503623,15.72,-14.32,BUY SIGNAL
2026-02-25 09:31:04,09:31:04,IDEA,10.94,3390798,4137567,-746769,1.11,-13.42,NEUTRAL
2026-02-25 09:31:05,09:31:05,YESBANK,20.85,1018285,488003,530282,31.12,35.13,BUY SIGNAL
