Time,Symbol,LTP,Buy_Qty,Sell_Qty,Diff,Prev_Buy,Buy_Diff,Buy_%_Change,Signal
15:11:18,IDEA,9.44,11494609,10320610,1173999,11494609,0,0.0,⚪ NEUTRAL
15:11:19,YESBANK,18.95,846111,1474908,-628797,846111,0,0.0,⚪ NEUTRAL
15:11:22,IDEA,9.44,11494609,10320610,1173999,11494609,0,0.0,⚪ NEUTRAL
15:11:22,YESBANK,18.93,763686,1454744,-691058,846111,-82425,-9.74,🔴 SELL
15:11:25,IDEA,9.44,11771801,10865727,906074,11494609,277192,2.41,🟢 BUY
15:11:25,YESBANK,18.93,763686,1454744,-691058,763686,0,0.0,⚪ NEUTRAL
15:11:29,IDEA,9.44,11771801,10865727,906074,11771801,0,0.0,⚪ NEUTRAL
15:11:29,YESBANK,18.93,738326,918563,-180237,763686,-25360,-3.32,🔴 SELL
15:11:32,IDEA,9.45,12359954,10728412,1631542,11771801,588153,5.0,🟢 BUY
15:11:32,YESBANK,18.93,738326,918563,-180237,738326,0,0.0,⚪ NEUTRAL
15:11:35,IDEA,9.45,12359954,10728412,1631542,12359954,0,0.0,⚪ NEUTRAL
15:11:35,YESBANK,18.94,630545,1356622,-726077,738326,-107781,-14.6,🔴 SELL
15:11:39,IDEA,9.45,12365053,10832485,1532568,12359954,5099,0.04,⚪ NEUTRAL
15:11:39,YESBANK,18.94,630545,1356622,-726077,630545,0,0.0,⚪ NEUTRAL
15:11:42,IDEA,9.44,12365053,10832485,1532568,12365053,0,0.0,⚪ NEUTRAL
15:11:42,YESBANK,18.94,644663,1453085,-808422,630545,14118,2.24,🟢 BUY
15:11:45,IDEA,9.45,12297256,10810662,1486594,12365053,-67797,-0.55,⚪ NEUTRAL
15:11:46,YESBANK,18.94,644663,1453085,-808422,644663,0,0.0,⚪ NEUTRAL
15:11:49,IDEA,9.45,12297256,10810662,1486594,12297256,0,0.0,⚪ NEUTRAL
15:11:49,YESBANK,18.95,642072,1449819,-807747,644663,-2591,-0.4,⚪ NEUTRAL
15:11:52,IDEA,9.44,12349147,10808982,1540165,12297256,51891,0.42,⚪ NEUTRAL
15:11:52,YESBANK,18.94,642072,1449819,-807747,642072,0,0.0,⚪ NEUTRAL
15:11:55,IDEA,9.45,12349147,10808982,1540165,12349147,0,0.0,⚪ NEUTRAL
15:11:56,YESBANK,18.95,793871,1485794,-691923,642072,151799,23.64,🟢 BUY
15:11:59,IDEA,9.45,11560578,11225044,335534,12349147,-788569,-6.39,🔴 SELL
15:11:59,YESBANK,18.94,753175,951316,-198141,793871,-40696,-5.13,🔴 SELL
15:12:02,IDEA,9.45,11560578,11225044,335534,11560578,0,0.0,⚪ NEUTRAL
15:12:02,YESBANK,18.94,753175,951316,-198141,753175,0,0.0,⚪ NEUTRAL
15:12:06,IDEA,9.45,12056925,11273057,783868,11560578,496347,4.29,🟢 BUY
15:12:06,YESBANK,18.94,753792,962388,-208596,753175,617,0.08,⚪ NEUTRAL
15:12:09,IDEA,9.45,12056925,11273057,783868,12056925,0,0.0,⚪ NEUTRAL
15:12:09,YESBANK,18.95,753792,962388,-208596,753792,0,0.0,⚪ NEUTRAL
15:12:12,IDEA,9.45,11842877,11261994,580883,12056925,-214048,-1.78,⚪ NEUTRAL
15:12:13,YESBANK,18.93,784199,1492294,-708095,753792,30407,4.03,🟢 BUY
15:12:16,IDEA,9.45,11842877,11261994,580883,11842877,0,0.0,⚪ NEUTRAL
15:12:16,YESBANK,18.95,784199,1492294,-708095,784199,0,0.0,⚪ NEUTRAL
15:12:19,IDEA,9.44,11853994,11136168,717826,11842877,11117,0.09,⚪ NEUTRAL
15:12:19,YESBANK,18.95,758263,1475321,-717058,784199,-25936,-3.31,🔴 SELL
15:12:22,IDEA,9.44,11853994,11136168,717826,11853994,0,0.0,⚪ NEUTRAL
15:12:23,YESBANK,18.95,758263,1475321,-717058,758263,0,0.0,⚪ NEUTRAL
15:12:26,IDEA,9.44,10736148,11105984,-369836,11853994,-1117846,-9.43,🔴 SELL
15:12:26,YESBANK,18.95,862567,1484965,-622398,758263,104304,13.76,🟢 BUY
15:12:29,IDEA,9.44,10736148,11105984,-369836,10736148,0,0.0,⚪ NEUTRAL
15:12:29,YESBANK,18.95,862567,1484965,-622398,862567,0,0.0,⚪ NEUTRAL
15:12:33,IDEA,9.45,10587933,11022887,-434954,10736148,-148215,-1.38,⚪ NEUTRAL
15:12:33,YESBANK,18.95,706763,1708532,-1001769,862567,-155804,-18.06,🔴 SELL
15:12:36,IDEA,9.44,10533411,11029693,-496282,10587933,-54522,-0.51,⚪ NEUTRAL
15:12:36,YESBANK,18.95,706763,1708532,-1001769,706763,0,0.0,⚪ NEUTRAL
15:12:39,IDEA,9.44,10533411,11029693,-496282,10533411,0,0.0,⚪ NEUTRAL
15:12:40,YESBANK,18.94,745327,1712653,-967326,706763,38564,5.46,🟢 BUY
15:12:43,IDEA,9.45,10548179,10893213,-345034,10533411,14768,0.14,⚪ NEUTRAL
15:12:43,YESBANK,18.94,745327,1712653,-967326,745327,0,0.0,⚪ NEUTRAL
15:12:46,IDEA,9.45,10548179,10893213,-345034,10548179,0,0.0,⚪ NEUTRAL
15:12:46,YESBANK,18.95,777652,1708853,-931201,745327,32325,4.34,🟢 BUY
15:12:50,IDEA,9.44,10641768,10464001,177767,10548179,93589,0.89,⚪ NEUTRAL
15:12:50,YESBANK,18.94,777652,1708853,-931201,777652,0,0.0,⚪ NEUTRAL
15:12:53,IDEA,9.45,10641768,10464001,177767,10641768,0,0.0,⚪ NEUTRAL
15:12:53,YESBANK,18.95,767319,1708538,-941219,777652,-10333,-1.33,⚪ NEUTRAL
15:12:57,IDEA,9.45,10614154,9957068,657086,10641768,-27614,-0.26,⚪ NEUTRAL
15:12:57,YESBANK,18.94,767319,1708538,-941219,767319,0,0.0,⚪ NEUTRAL
15:13:00,IDEA,9.45,10614154,9957068,657086,10614154,0,0.0,⚪ NEUTRAL
15:13:00,YESBANK,18.95,772538,1708548,-936010,767319,5219,0.68,⚪ NEUTRAL
15:13:03,IDEA,9.44,10881448,9958605,922843,10614154,267294,2.52,🟢 BUY
15:13:04,YESBANK,18.95,772538,1708548,-936010,772538,0,0.0,⚪ NEUTRAL
15:13:07,IDEA,9.45,10881448,9958605,922843,10881448,0,0.0,⚪ NEUTRAL
